Subnetzname,"Subnetzadresse","Used","Netz","Area Netz","Subnet Organization","Netz","Subnetzmaske","Change"
NZ91029_MGT_COMPANY.IP_Storage_Mgmt.Netz1,"10.123.221.0","Y","Direktion","10.123.0.0","NZ91029_MGT_COMPANY.IP_Storage_Mgmt","direktion","255.255.255.0",""
NZ91030_MGT_COMPANY.Cisco_Smart_Licensing,"10.123.222.0","Y","Direktion","10.123.0.0","NZ91030_MGT_COMPANY.Cisco_Smart_Licensing","direktion","255.255.255.224",""
NZ91005_MGT_COMPANY.meeting_COMPANY_poc.Netz,"10.123.222.32","Y","Direktion","10.123.0.0","NZ91005_MGT_COMPANY.meeting_COMPANY_poc","direktion","255.255.255.224",""
NZ91003_MGT_COMPANY.Websec_INT_Mgmt.Test01,"10.123.222.64","Y","Direktion","10.123.0.0","NZ91003_MGT_COMPANY.Websec_INT_Mgmt","direktion","255.255.255.224",""
NZ91032_MGT_COMPANY.meeting_COMPANY.Netz1,"10.123.222.96","Y","Direktion","10.123.0.0","NZ91032_MGT_COMPANY.meeting_COMPANY","direktion","255.255.255.224",""
NZ91034_MGT_COMPANY.NTP_Mgmt.Netz01,"10.123.222.128","Y","Direktion","10.123.0.0","NZ91034_MGT_COMPANY.NTP_Mgmt","direktion","255.255.255.224",""
NZ50077_DC.SDDC_TEST.Netz5,"10.121.254.128","Y","Direktion","10.123.0.0","NZ50077_DC.SDDC_TEST","direktion","255.255.255.224",""
NZ50080_DC.D3_ECM.Netz1,"10.121.254.192","Y","Direktion","10.123.0.0","NZ50080_DC.D3_ECM","direktion","255.255.255.224",""
NZ50081_DC.CDC_Test.Netz1,"10.129.254.224","Y","Direktion","10.124.0.0","NZ50081_DC.CDC_Test","direktion","255.255.255.224",""
NZ50039_DC.ESX_Mgmt.Console,"10.122.28.0","Y","Direktion","10.124.0.0","NZ50039_DC.ESX_Mgmt.Console","direktion","255.255.254.0",""
